security,X_0,X_1,y,w,b,s
security_1,0.0,481.4799589160306,0.011879634849693912,0.011879634849693912,9503.707879755131,0.0
security_2,4967.946024334753,0.0,0.0,0.21241181652129051,0.0,169929.45321703242
security_3,0.0,428.4125457772147,0.004230018640114884,0.004230018640114884,3384.014912091907,0.0
security_4,0.0,0.0,-0.0,0.0,0.0,0.0
security_5,0.0,0.0,-0.0,0.0,0.0,0.0
security_6,0.0,0.0,-0.0,0.0,0.0,0.0
security_7,4350.309492528218,2886.2108071473504,0.13096083954643714,0.06643298283739131,0.0,53146.38626991305
security_8,0.0,1768.137627609171,0.0302083414373352,0.0302083414373352,24166.673149868162,0.0
security_9,12194.049344794194,0.0,0.0,0.127705627801702,0.0,102164.50224136161
security_10,0.0,11198.206229844649,0.21368153871958856,0.21368153871958856,170945.23097567083,0.0
security_11,0.0,4184.567679238569,0.1281296891277309,0.1281296891277309,102503.75130218473,0.0
security_12,3168.5325043169005,336.4211734213839,0.0192212064910475,0.16181085198402062,0.0,129448.6815872165
security_13,2700.695490924037,0.0,0.0,0.20194151488748646,0.0,161553.2119099892
security_14,3353.363567242265,2655.8776043763914,0.0695360719071069,0.018261547139114914,0.0,14609.237711291931
security_15,941.2950364653984,263.8743567434867,0.06850198226873279,0.1758589199930991,0.0,140687.13599447926
security_16,0.0,0.0,-0.0,0.0,0.0,0.0
security_17,0.0,1978.4394776942133,0.02278296362332284,0.02278296362332284,18226.370898658275,0.0
security_18,0.0,0.0,-0.0,0.0,0.0,0.0
security_19,12194.049344794194,5237.668672576945,0.06972834577068036,0.09260931669169385,0.0,74087.45335335509
security_20,0.0,492.7225238038032,0.01344706848552679,0.01344706848552679,10757.654788421432,0.0
security_21,1837.459489065308,1127.6154372552123,0.11784251688103939,0.07418292344591601,0.0,59346.33875673281
security_22,0.0,0.0,-0.0,0.0,0.0,0.0
security_23,0.0,507.5980585237814,0.031028561732230116,0.031028561732230116,24822.84938578409,0.0
security_24,4106.159470958078,0.0,0.0,0.24098032074579806,0.0,192784.25659663838
security_25,2901.2518245649967,465.0533824195566,0.020637300728853766,0.10810922312648091,0.0,86487.37850118474
security_26,1634.4582779900124,817.9940121164472,0.1256868934128212,0.125451843950197,0.0,100361.47516015764
security_27,0.0,0.0,-0.0,0.0,0.0,0.0
security_28,1736.744186931201,1121.210830269376,0.08856403028875678,0.04862075300328732,0.0,38896.60240262985
security_29,0.0,5691.765206816142,0.05051577931711322,0.05051577931711322,40412.62345369058,0.0
security_30,0.0,125.57620861248024,0.012984145486266875,0.012984145486266875,10387.316389013498,0.0
security_31,6543.1484267343985,695.0206083933655,0.02043307128560073,0.1719304595524101,0.0,137544.36764192805
