security,X_0,X_1,y,w,b,s
security_10,39841.94331354284,11108.909212599685,1.0,1.0,0.0,438621.60154963465
security_7,4350.309492528218,3345.9394289624775,1.0,1.0,0.0,36458.361645421595
security_11,0.0,3969.6566845805132,1.0,1.0,97239.36443186818,0.0
security_26,1634.4582779900124,841.3281308280766,1.0,1.0,0.0,97493.19705743415
security_21,1837.459489065308,1326.4875183884285,1.0,1.0,0.0,42719.686936389364
security_28,1736.744186931201,1377.7748535673584,1.0,1.0,0.0,22683.88428258909
security_19,12194.049344794194,6038.509629178001,1.0,1.0,0.0,65558.26701187131
security_14,3353.363567242265,3257.651932840624,1.0,1.0,0.0,2004.7342787581335
security_15,941.2950364653984,193.14449546770723,1.0,1.0,0.0,155376.35631214234
security_29,0.0,5832.582347779112,1.0,1.0,41412.452133683706,0.0
security_23,5917.700412126777,595.4943602756694,1.0,1.0,0.0,260269.55187619003
security_8,7172.970197057547,2242.920032597827,1.0,1.0,0.0,67383.2789238549
security_17,8786.105421074508,1214.1392025571915,1.0,1.0,0.0,69756.72811161839
security_25,2901.2518245649967,0.0,0.0,1.0,0.0,102997.21908426777
security_31,6543.1484267343985,1076.007112117244,1.0,1.0,0.0,128583.79951438752
security_12,3168.5325043169005,0.0,0.0,1.0,0.0,144825.6467800545
