security,X_0,X_1,y,w,b,s
security_10,39841.94331354284,10351.345936898908,1.0,1.0,0.0,450186.117016247
security_7,4350.309492528218,3912.6844518896864,1.0,1.0,0.0,15885.670606357684
security_11,4790.519380489517,4324.208028273007,1.0,1.0,0.0,11422.604804347231
security_26,1634.4582779900124,697.0000153837067,1.0,1.0,0.0,115234.30732829761
security_21,1837.459489065308,1640.9845928964623,1.0,1.0,0.0,16426.23575628644
security_28,1736.744186931201,1559.7462491114052,1.0,1.0,0.0,11184.801504176521
security_19,12194.049344794194,5962.845455420754,1.0,1.0,0.0,66364.11220751291
security_14,3353.363567242265,2755.0662680501027,1.0,1.0,0.0,12531.675089213331
security_15,941.2950364653984,145.79595762726564,1.0,1.0,0.0,165209.72925409695
security_29,29372.52760493883,6460.559514392121,1.0,1.0,0.0,162679.3631468481
security_23,5917.700412126777,759.9306426642665,1.0,1.0,0.0,252228.1951319164
security_8,7172.970197057547,2785.342276304579,1.0,1.0,0.0,59969.52285182092
