security,X_0,X_1,y,w,b,s,weights,q_T
security_1,0.0,140.6117469637261,0.00426995316246894,0.00426995316246894,2775.469555604811,0.0,0.002775469555604811,19.73853263
security_2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,34.205172999999995
security_3,11312.55179016304,253.56110619810656,0.0030813382063570463,0.13439163059820355,0.0,87354.55988883231,0.0020028698341320803,7.89896315
security_4,2828.137948500563,417.4233331533535,0.05369011680179547,0.3100726265012992,0.0,201547.20722584447,0.03489857592116707,83.60475601
security_5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.27155415
security_6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,15.35416432
security_7,0.0,2334.715942915877,0.13038393420596628,0.13038393420596628,84749.55723387809,0.0,0.08474955723387809,36.29972952
security_8,8368.46522990047,1107.7952671776086,0.023294154448000627,0.15267366860893905,0.0,99237.88459581036,0.015141200391200408,13.66786882
security_9,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.37822608
security_10,46482.267199133305,6886.716130411273,0.16173624396262104,0.9299113810144514,0.0,604442.3976593934,0.10512855857570369,15.26541193
security_11,5588.939277237769,3883.9171618365644,0.14636787407450866,0.06425483651749346,0.0,41765.64373637076,0.09513911814843061,24.495661
security_12,3696.6212550363834,549.2506602227705,0.038622869882440486,0.22132059869714446,0.0,143858.3891531439,0.02510486542358631,45.70748338
security_13,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,59.81911417
security_14,3912.2574951159754,3068.1890817389235,0.09886916070383195,0.02719921536253785,0.0,17679.4899856496,0.06426495445749075,20.9455652
security_15,0.0,409.4641031901899,0.1308273112427744,0.1308273112427744,85037.75230780338,0.0,0.08503775230780339,207.6806041
security_16,25795.104403059126,0.0,0.0,0.3275570589390045,0.0,212912.0883103529,0.0,8.25397273
security_17,0.0,1406.3358355020075,0.01993210292558264,0.01993210292558264,12955.866901628715,0.0,0.012955866901628714,9.21249859
security_18,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,106.50287390000001
security_19,0.0,2935.9462071258317,0.04810564748841627,0.04810564748841627,31268.670867470577,0.0,0.03126867086747058,10.65028739
security_20,0.0,665.3074927416386,0.02234725815567873,0.02234725815567873,14525.717801191173,0.0,0.014525717801191173,21.83308915
security_21,0.0,1222.3093840548993,0.15721673511175885,0.15721673511175885,102190.87782264325,0.0,0.10219087782264324,83.60475601
security_22,2845.2781785090324,0.0,0.0,0.19696969697447222,0.0,128030.30303340695,0.0,44.99746422
security_23,0.0,524.8476293023266,0.03948676572515697,0.03948676572515697,25666.397721352027,0.0,0.025666397721352027,48.9025696
security_24,4790.519382784424,0.0,0.0,0.346023024660633,0.0,224914.96602941147,0.0,46.95001691
security_25,3384.793795325829,382.52535761293376,0.020892333297039968,0.16397447018754313,0.0,106583.40562190305,0.013580016643075982,35.50095797
security_26,0.0,838.9922363779234,0.15866255362918036,0.15866255362918036,103130.65985896725,0.0,0.10313065985896724,122.92206696
security_27,0.0,69.77101610732826,0.012051255601195198,0.012051255601195198,7833.3161407768785,0.0,0.007833316140776878,112.27177957
security_28,0.0,1174.782957117006,0.11421005888711762,0.11421005888711762,74236.53827662642,0.0,0.07423653827662642,63.19170518
security_29,34267.94887242863,5475.011218857731,0.05980558247890662,0.31451595966042833,0.0,204435.37377927836,0.03887362861128931,7.10019159
security_30,0.0,475.9750881702646,0.06057129511224421,0.06057129511224421,39371.34182295874,0.0,0.03937134182295874,82.71723206
security_31,0.0,940.6728114811625,0.034036993358496,0.034036993358496,22124.045683022396,0.0,0.022124045683022394,23.51938465
