security,X_0,X_1,y,w,b,s
security_1,0.0,14.061174696378195,0.004269953162470638,0.004269953162470638,277.54695556059136,0.0
security_2,579.5937028390545,0.0,0.0,0.3050015826972376,0.0,19825.102875320445
security_3,1131.255179016304,25.356110619833437,0.003081338206359815,0.1343916305982008,0.0,8735.455988883052
security_4,282.81379485005635,41.74233331534384,0.05369011680180641,0.31007262650128836,0.0,20154.72072258374
security_5,0.0,0.0,-0.0,0.0,0.0,0.0
security_6,0.0,0.0,-0.0,0.0,0.0,0.0
security_7,0.0,233.47159429159973,0.130383934205973,0.130383934205973,8474.955723388246,0.0
security_8,836.8465229900471,110.7795267177017,0.023294154447988186,0.15267366860895148,0.0,9923.788459581847
security_9,0.0,0.0,0.0,0.0,0.0,0.0
security_10,0.0,688.6716130410807,0.16173624396261013,0.16173624396261013,10512.855857569657,0.0
security_11,0.0,388.3917161836572,0.1463678740745089,0.1463678740745089,9513.911814843079,0.0
security_12,369.6621255036384,54.92506602228168,0.03862286988244374,0.22132059869714127,0.0,14385.838915314182
security_13,315.08114060780434,0.0,0.0,0.2899673034281857,0.0,18847.87472283207
security_14,0.0,306.81890817387534,0.09886916070382643,0.09886916070382643,6426.495445748719,0.0
security_15,0.0,40.94641031902082,0.13082731124278027,0.13082731124278027,8503.775230780719,0.0
security_16,0.0,0.0,-0.0,0.0,0.0,0.0
security_17,1025.0456324586926,140.63358355018258,0.019932102925580068,0.1253483808238255,0.0,8147.644753548657
security_18,167.66817837335833,0.0,0.0,0.2747252747436999,0.0,17857.142858340492
security_19,1422.6390902259893,293.5946207125929,0.04810564748841786,0.18499458579088873,0.0,12024.648076407766
security_20,0.0,66.53074927418281,0.02234725815568509,0.02234725815568509,1452.571780119531,0.0
security_21,0.0,122.23093840548975,0.15721673511175865,0.15721673511175865,10219.087782264309,0.0
security_22,0.0,0.0,-0.0,0.0,0.0,0.0
security_23,690.3983814147906,52.48476293023896,0.0394867657251617,0.4799325404112097,0.0,31195.615126728633
security_24,0.0,0.0,-0.0,0.0,0.0,0.0
security_25,0.0,38.252535761293494,0.020892333297040037,0.020892333297040037,1358.0016643076024,0.0
security_26,190.68679909883477,83.89922363779007,0.1586625536291761,0.2019469154049014,0.0,13126.549501318588
security_27,0.0,6.977101610729582,0.012051255601189595,0.012051255601189595,783.3316140773236,0.0
security_28,0.0,117.47829571169926,0.11421005888711629,0.11421005888711629,7423.653827662558,0.0
security_29,0.0,547.50112188581,0.059805582478910636,0.059805582478910636,3887.362861129193,0.0
security_30,0.0,47.59750881702665,0.06057129511224447,0.06057129511224447,3937.1341822958893,0.0
security_31,763.3673164523465,94.06728114810139,0.034036993358490614,0.24217730733198642,0.0,15741.524976579118
