security,X_0,X_1,y,w,b,s
security_10,39841.94331354284,11108.90921259973,1.0,1.0,0.0,438621.60154963384
security_7,4350.309492528218,3345.9394289624324,1.0,1.0,0.0,36458.36164542321
security_11,4790.519380489517,3969.656684580408,1.0,1.0,0.0,20107.574326535592
security_26,1634.4582779900124,841.3281308280511,1.0,1.0,0.0,97493.19705743728
security_21,1837.459489065308,1326.4875183884,1.0,1.0,0.0,42719.68693639176
security_28,0.0,1377.7748535673838,1.0,1.0,87063.9423510478,0.0
security_19,12194.049344794194,6038.50962917805,1.0,1.0,0.0,65558.26701187082
security_14,3353.363567242265,3257.6519328407,1.0,1.0,0.0,2004.734278756533
security_15,941.2950364653984,193.14449546772747,1.0,1.0,0.0,155376.35631213814
security_29,29372.52760493883,5832.582347779119,1.0,1.0,0.0,167138.12134394576
security_23,5917.700412126777,595.4943602757055,1.0,1.0,0.0,260269.55187618826
security_8,7172.970197057547,2242.92003259785,1.0,1.0,0.0,67383.27892385458
security_17,8786.105421074508,1214.1392025572281,1.0,1.0,0.0,69756.72811161807
security_25,2901.2518245649967,0.0,0.0,1.0,0.0,102997.21908426777
security_31,0.0,1076.0071121171854,1.0,1.0,25307.02515601976,0.0
security_12,3168.5325043169005,0.0,0.0,1.0,0.0,144825.6467800545
