index,security_1,security_2,security_3,security_4,security_5,security_6,security_7,security_8,security_9,security_10,security_11,security_12,security_13,security_14,security_15,security_16,security_17,security_18,security_19,security_20,security_21,security_22,security_23,security_24,security_25,security_26,security_27,security_28,security_29,security_30,security_31,security_32,security_33,security_34,security_35,security_36,security_37,security_38,security_39,security_40,security_41,security_42,security_43,security_44,security_45,security_46,security_47,security_48,security_49,security_50,security_51,security_52,security_53,security_54,security_55,security_56,security_57,security_58,security_59,security_60,security_61,security_62,security_63,security_64,security_65,security_66,security_67,security_68,security_69,security_70,security_71,security_72,security_73,security_74,security_75,security_76,security_77,security_78,security_79,security_80,security_81,security_82,security_83,security_84,security_85,security_86,security_87,security_88,security_89,security_90,security_91,security_92,security_93,security_94,security_95,security_96,security_97,security_98
242.43775927,53.38795655,46.08144055,23.62020258,30.08269,24.76656974,57.31835826,37.71673948,77.6380312,31.65737018,21.2518836,45.90507637,35.3484205,19.52603413,26.45462689,35.12166655,39.05206826,43.70052413,25.74917017,64.95240773,13.85718551,42.59194929,12.13133604,22.99033051,17.00654586,54.33276465,19.60161878,48.42456465,17.42226142,23.62020258,70.07956637,10.70782517,42.99506741,33.21945291,45.51455569,47.24040516,32.2746448,42.05025931,38.97648362,30.08269,43.87688831,34.59257402,60.63148534,29.1378819,54.79886998,18.58122603,69.4496943,37.95609086,11.91717954,34.01309171,44.72091688,6.41209766,28.18047636,10.00236845,46.53494844,20.40785503,25.50981878,31.73295482,39.84570707,32.37542433,25.92553435,30.54879533,32.02269598,28.97411516,13.22731344,38.90089897,50.85587083,25.66098808,32.43841154,20.3070755,29.67957188,36.38141069,23.14149981,16.81758424,66.18695699,16.32628402,37.79232413,76.84439239,24.41384139,31.88412412,38.58596293,32.96750408,32.75334758,37.08686741,3.72884265,27.39943499,23.93513861,32.66516549,86.77117619,21.26448104,56.53731689,69.13475827,37.64115483,22.04552241,18.74499277,35.97829257,54.72328533,17.5986256,16.5026482
238.10423943,48.03404396,44.78390409,21.73058637,28.65917913,24.40124394,56.92783757,37.31362135,73.38009601,31.1786674,21.1007143,45.50195825,33.34542732,19.52603413,27.08449896,34.80673052,38.66154758,43.77610878,24.84215439,64.56188705,15.11692965,41.86129769,11.81640001,23.26747422,16.37667379,52.90925378,19.2110981,48.89066998,17.53563839,21.41565034,71.17554377,10.15353775,42.83130068,32.07308574,42.36519534,46.45936379,34.4036124,41.42038724,37.47738809,28.65917913,43.56195228,30.7503544,58.74186913,27.71437103,53.22418981,18.89616206,67.24514206,37.64115483,11.7534128,33.307635,44.56974759,6.14755139,28.54580216,9.80080939,46.68611774,21.57941708,25.19488275,32.19906016,39.68194033,32.92971175,24.82955695,29.36463585,30.98970578,29.04969981,13.54224948,38.73713223,50.22599876,26.60579618,31.49360344,19.99213946,29.44022049,34.17685845,22.59980983,17.03174074,62.98720688,15.21770918,37.55297274,72.91399068,23.93513861,30.27165162,37.95609086,30.76295184,33.23205035,37.86790877,3.64066056,27.23566825,24.25007465,32.19906016,87.23728152,20.1559062,55.27757275,70.70943844,36.53257999,21.1007143,18.43005673,35.03348446,54.4083493,17.95135396,16.64122006
239.13722963,50.3897655,44.01546017,21.02512966,29.2890512,24.56501068,56.68848619,37.31362135,75.43347896,30.2338593,20.93694757,45.19961965,33.71075312,17.00654586,26.76956292,35.12166655,37.64115483,43.53675739,25.62319576,64.87682308,15.43186568,42.74311859,11.50146398,24.36345162,17.42226142,50.86846827,19.68980087,46.92546912,18.99694159,22.52422518,72.59905465,10.55665587,42.20142861,31.59438297,41.42038724,46.77429983,34.16426101,42.51636464,38.73713223,28.50800983,43.46117274,31.49360344,58.11199706,28.02930706,53.38795655,18.26628999,68.02618343,37.16245206,11.96756931,32.99269896,43.62493948,6.23573348,28.6213868,10.0779531,46.84988447,21.16370151,26.84514757,32.58958084,39.99687637,33.35802476,25.40903925,28.97411516,30.69996463,28.18047636,13.07614415,39.05206826,49.28119066,26.45462689,32.19906016,20.08032155,29.44022049,34.49179449,23.06591516,17.35927422,62.04239877,14.96576035,36.05387722,72.28411861,23.30526654,30.2338593,37.47738809,30.13307977,33.54698638,38.34661155,3.17455523,27.23566825,22.99033051,32.14867039,84.08792118,20.94954501,57.00342222,70.5456717,36.53257999,20.62201153,17.32148189,35.97829257,56.4491348,17.7497949,15.82238637
241.98425138,52.75808448,41.94947978,21.56681963,28.82294587,24.76656974,56.85225293,36.77193137,71.4904798,32.28724224,21.17629895,46.29559705,34.20205333,16.06173775,28.02930706,35.43660259,37.95609086,44.3303962,25.50981878,62.82344014,16.06173775,43.77610878,12.44627208,25.97592412,16.79238935,51.18340431,20.08032155,47.20261283,17.95135396,24.72877742,75.74841499,11.33769724,43.93987552,32.2746448,42.36519534,49.2937881,32.2746448,46.14442776,36.84751602,29.2890512,43.56195228,29.12528446,57.94823033,29.04969981,53.22418981,19.68980087,66.30033396,36.53257999,12.76120811,33.53438894,44.72091688,6.52547463,29.17567423,10.24171984,48.42456465,22.22188659,27.16008361,33.77374033,41.57155654,35.43660259,26.98371943,28.65917913,30.39762604,28.10489171,13.22731344,39.215835,50.46535015,27.32385034,34.01309171,20.71019362,30.47321069,37.64115483,25.34605205,17.32148189,61.7778525,15.06653988,35.51218724,74.17373482,24.56501068,30.2338593,37.64115483,30.54879533,35.43660259,40.07246101,2.96039872,28.49541239,21.57941708,33.59737615,83.45804911,22.20928914,55.90744482,70.23073567,37.47738809,21.56681963,19.37486484,34.47919704,54.24458256,18.26628999,14.85238338
238.50735756,51.64950964,42.07545419,20.62201153,28.34424309,23.97293094,55.59250879,35.58777189,68.6560555,31.02749811,21.17629895,45.98066102,33.06828361,15.91056846,29.2890512,34.80673052,35.51218724,44.64533223,26.06410621,62.5085041,15.11692965,42.74311859,12.28250534,25.19488275,17.42226142,49.92366017,19.68980087,46.53494844,17.85057443,23.78396932,76.69322309,10.78340982,42.05025931,31.01490067,40.62674844,46.29559705,29.67957188,44.56974759,37.71673948,28.50800983,44.77130665,28.54580216,56.85225293,30.07009256,52.12821241,18.89616206,64.56188705,36.21764395,12.44627208,33.53438894,42.99506741,6.14755139,28.45762007,8.70483199,46.61053309,21.34006569,25.82475482,32.75334758,39.05206826,35.20984864,25.45942902,29.2890512,28.0419045,27.55060429,12.44627208,38.58596293,49.99924482,25.90033947,32.51399619,21.65500172,30.2338593,37.47738809,24.08630791,16.60342773,61.24875997,15.01615012,34.88231517,74.32490411,23.62020258,30.30944395,37.64115483,32.12347551,34.95789982,40.47557914,2.59507292,27.95372241,20.94954501,32.0604883,78.89777533,21.89435311,54.96263672,66.61526999,36.53257999,21.02512966,19.0599288,34.71854843,52.44314845,17.67421025,13.86978295
237.43657504,52.12821241,41.30701027,20.47084223,29.1378819,23.58241025,55.66809344,35.90270792,65.98539792,30.71256207,21.1007143,45.2752043,33.06828361,15.11692965,28.02930706,33.69815568,35.58777189,42.83130068,26.13969085,64.17136637,14.48705758,44.21701923,12.28250534,25.19488275,18.05213349,46.77429983,20.0047369,49.8732704,17.73719746,23.46903328,74.95477618,10.87159191,39.05206826,30.91412113,41.2566205,45.66572499,28.34424309,42.51636464,37.86790877,26.45462689,44.24221411,27.71437103,56.22238086,29.36463585,51.96444567,19.37486484,62.35733481,35.12166655,12.69822091,32.51399619,42.36519534,6.29872069,28.18047636,8.6166499,45.4263736,21.28967592,26.06410621,32.82893222,39.84570707,36.63335952,24.66579021,29.45281794,28.0419045,28.41982774,11.81640001,39.05206826,47.87027723,26.06410621,32.2746448,22.04552241,30.3850286,34.64296378,25.03111601,15.99875055,62.09278854,14.80199362,34.32802775,74.80360689,23.93513861,31.01490067,35.27283585,33.38321964,33.06828361,40.62674844,2.60767036,25.82475482,20.94954501,32.0604883,74.32490411,19.68980087,54.96263672,63.30214291,31.65737018,20.1559062,17.63641793,35.1972512,51.49834034,16.06173775,13.9453676
239.23800916,51.64950964,40.00947381,20.3070755,30.2338593,23.93513861,55.3531574,36.99868532,57.00342222,29.60398723,20.1559062,45.2752043,32.48880131,14.80199362,28.1930738,33.06828361,36.53257999,42.83130068,25.93813179,66.76643929,14.80199362,43.48636763,12.28250534,23.62020258,16.59083029,49.4449574,20.1559062,48.10962861,18.36706953,24.25007465,76.06335102,11.0227612,42.68013138,30.33463883,40.79051517,48.66391603,29.04969981,42.68013138,39.05206826,26.61839363,44.29260388,26.71917316,56.37355015,29.84333862,51.96444567,18.89616206,61.09759067,34.64296378,12.13133604,33.307635,40.3118124,5.9082,27.78995567,8.04976504,44.4815655,21.4030529,26.37904224,34.01309171,39.53077104,36.51998255,24.35085418,30.78814672,29.07489469,28.26865845,11.33769724,39.3670043,48.10962861,26.37904224,31.73295482,22.28487379,30.07009256,29.91892327,25.19488275,16.31368658,63.98240474,14.53744735,36.05387722,76.37828706,23.62020258,31.73295482,34.80673052,31.70775994,33.69815568,40.23622775,2.46909851,25.90033947,22.20928914,31.87152668,75.26971222,19.68980087,54.48393395,64.56188705,31.80853947,19.67720343,17.32148189,36.2932286,54.16899791,15.70900939,13.41627506
246.27997889,55.90744482,41.68493351,22.82656377,31.34243414,24.87994672,58.4269331,38.25842946,58.26316636,29.91892327,20.3070755,46.13183032,32.70295781,14.17212155,28.97411516,35.27283585,38.81271688,48.26079791,26.17748318,66.28773652,14.48705758,44.80909897,12.76120811,25.74917017,17.22070236,54.96263672,20.71019362,47.87027723,19.31187763,24.09890535,78.26790326,11.81640001,43.62493948,32.32503457,39.84570707,53.22418981,29.75515653,45.82949172,40.14804566,28.34424309,46.39637659,29.60398723,60.4677186,31.65737018,53.85406188,20.63460897,60.94642137,35.27283585,12.59744138,34.32802775,40.62674844,6.08456418,29.2890512,8.22612922,47.63092584,21.86915823,26.76956292,35.27283585,37.01128276,37.389206,26.79475781,31.10308276,29.07489469,29.75515653,12.59744138,40.62674844,47.55534119,26.84514757,32.67776293,22.12110705,31.10308276,31.49360344,26.37904224,17.00654586,62.5085041,15.84758125,37.47738809,81.25349687,25.35864949,31.29204438,36.84751602,31.27944693,35.58777189,41.57155654,2.63286525,27.39943499,23.62020258,32.38802178,75.89958429,20.78577827,57.31835826,67.24514206,32.12347551,20.86136292,18.26628999,36.99868532,55.81926273,15.54524266,14.02095225
241.31658698,55.74367809,40.27402008,21.88175567,32.91711431,23.89734629,58.33875101,39.29141965,57.79706103,30.2338593,19.99213946,45.66572499,32.35022945,14.17212155,28.50800983,34.32802775,37.55297274,48.26079791,25.50981878,65.97280048,14.65082432,42.59194929,13.22731344,24.71617998,16.47745332,52.90925378,20.78577827,47.63092584,17.73719746,23.30526654,77.15932842,11.65263327,40.79051517,32.70295781,38.10726016,49.92366017,28.26865845,46.29559705,39.05206826,28.50800983,45.66572499,29.02450493,54.16899791,32.12347551,55.27757275,21.1007143,61.09759067,35.12166655,11.28730747,32.58958084,39.68194033,5.74443327,28.73476378,8.15054457,46.92546912,20.76058339,27.71437103,33.38321964,35.90270792,37.83011645,23.56981281,31.1786674,28.63398425,28.58359448,11.0227612,39.84570707,46.44676635,28.02930706,31.25425205,21.41565034,31.25425205,29.45281794,27.23566825,17.00654586,58.99381796,15.43186568,38.88830153,77.78920049,25.82475482,29.01190749,36.38141069,30.4480158,36.06647466,41.09285377,2.44390363,29.04969981,25.19488275,31.16606996,73.54386275,23.62020258,56.68848619,64.56188705,31.1786674,21.1007143,18.1151207,37.08686741,55.5043267,15.11692965,15.14212453
244.0628292,54.16899791,40.65194332,21.49123499,33.54698638,23.85955396,58.4269331,39.83310963,57.94823033,32.12347551,21.17629895,45.98066102,31.56918809,14.80199362,28.34424309,33.86192242,37.16245206,47.94586187,26.10189853,69.99138428,15.11692965,44.67052712,13.22731344,25.15709043,15.01615012,53.22418981,20.47084223,45.98066102,17.22070236,23.78396932,77.78920049,11.65263327,40.3118124,31.27944693,38.58596293,51.49834034,26.69397827,44.09104481,40.55116379,28.02930706,45.55234801,28.81034843,51.49834034,34.01309171,55.90744482,21.26448104,61.09759067,35.43660259,12.01795907,32.43841154,40.62674844,5.80742047,29.44022049,8.28911642,46.29559705,20.40785503,27.32385034,33.93750706,36.21764395,37.61595995,23.88474885,32.91711431,29.07489469,27.55060429,12.28250534,40.1606431,47.07663842,28.65917913,30.86373137,22.82656377,30.86373137,28.82294587,27.86554032,16.62862262,60.40473139,13.01315694,40.4629817,80.6236248,25.82475482,30.15827465,35.12166655,30.4480158,37.16245206,41.57155654,2.63286525,28.73476378,25.82475482,31.16606996,74.95477618,22.99033051,60.15278257,64.24695101,30.71256207,20.86136292,18.26628999,37.31362135,57.07900687,15.70900939,15.97355566
