security,X_0,X_1,y,w,b,s
security_10,39841.94331354284,9444.318727280981,1.0,1.0,0.0,464032.26100278314
security_7,4350.309492528218,4924.814949301155,1.0,1.0,20854.39268862165,0.0
security_11,4790.519380489517,5823.259918237589,1.0,1.0,25297.66211363447,0.0
security_26,1634.4582779900124,907.6010876768318,1.0,1.0,0.0,89346.78821803429
security_21,1837.459489065308,1397.1610122580046,1.0,1.0,0.0,36811.046725049295
security_28,1736.744186931201,1444.916824261163,1.0,1.0,0.0,18441.06866530198
security_19,12194.049344794194,8451.74800666395,1.0,1.0,0.0,39856.584751068665
security_14,3353.363567242265,1753.9317182133316,1.0,1.0,0.0,33501.004076792065
security_15,941.2950364653984,327.8159723088934,1.0,1.0,0.0,127407.70264672562
security_29,29372.52760493883,2803.1091542894123,1.0,1.0,0.0,188647.9614344918
