security,X_0,X_1,y,w,b,s
security_10,39841.94331354284,11108.90921259966,1.0,1.0,0.0,438621.60154963494
security_7,4350.309492528218,3345.9394289623924,1.0,1.0,0.0,36458.361645424666
security_11,4790.519380489517,3969.656684580314,1.0,1.0,0.0,20107.57432653792
security_26,1634.4582779900124,841.3281308280496,1.0,1.0,0.0,97493.19705743746
security_21,1837.459489065308,1326.4875183884137,1.0,1.0,0.0,42719.6869363906
security_28,1736.744186931201,1377.7748535673823,1.0,1.0,0.0,22683.88428258756
security_19,12194.049344794194,6038.509629177964,1.0,1.0,0.0,65558.2670118717
security_14,3353.363567242265,3257.651932840787,1.0,1.0,0.0,2004.73427875471
security_15,0.0,193.14449546773542,1.0,1.0,40112.36549732901,0.0
security_29,29372.52760493883,5832.58234777909,1.0,1.0,0.0,167138.12134394597
security_23,5917.700412126777,595.4943602757356,1.0,1.0,0.0,260269.5518761868
security_8,0.0,2242.9200325978527,1.0,1.0,30655.936779297575,0.0
security_17,8786.105421074508,1214.1392025571975,1.0,1.0,0.0,69756.72811161836
security_25,2901.2518245649967,0.0,0.0,1.0,0.0,102997.21908426777
security_31,6543.1484267343985,1076.0071121172161,1.0,1.0,0.0,128583.79951438817
security_12,3168.5325043169005,0.0,0.0,1.0,0.0,144825.6467800545
