security,X_0,X_1,y,w,b,s,weights,q_T
security_1,0.0,140.6117469637261,0.00426995316246894,0.00426995316246894,2775.469555604811,0.0,0.002775469555604811,19.73853263
security_2,5795.937028390545,0.0,0.0,0.3050015826972376,0.0,198251.02875320445,0.0,34.205172999999995
security_3,0.0,253.56110619810656,0.0030813382063570463,0.0030813382063570463,2002.8698341320803,0.0,0.0020028698341320803,7.89896315
security_4,0.0,417.4233331533535,0.05369011680179547,0.05369011680179547,34898.57592116707,0.0,0.03489857592116707,83.60475601
security_5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.27155415
security_6,9740.06015377776,0.0,0.0,0.23007766782736647,0.0,149550.4840877882,0.0,15.35416432
security_7,5075.361074616253,2334.715942915877,0.13038393420596628,0.1530533492169668,0.0,99484.67699102843,0.08474955723387809,36.29972952
security_8,0.0,1107.7952671776086,0.023294154448000627,0.023294154448000627,15141.200391200407,0.0,0.015141200391200408,13.66786882
security_9,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.37822608
security_10,0.0,6886.716130411273,0.16173624396262104,0.16173624396262104,105128.55857570369,0.0,0.10512855857570369,15.26541193
security_11,5588.939277237769,3883.9171618365644,0.14636787407450866,0.06425483651749346,0.0,41765.64373637076,0.09513911814843061,24.495661
security_12,0.0,549.2506602227705,0.038622869882440486,0.038622869882440486,25104.86542358631,0.0,0.02510486542358631,45.70748338
security_13,3150.811406078043,0.0,0.0,0.28996730342818566,0.0,188478.7472283207,0.0,59.81911417
security_14,3912.2574951159754,3068.1890817389235,0.09886916070383195,0.02719921536253785,0.0,17679.4899856496,0.06426495445749075,20.9455652
security_15,0.0,409.4641031901899,0.1308273112427744,0.1308273112427744,85037.75230780338,0.0,0.08503775230780339,207.6806041
security_16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.25397273
security_17,10250.456324586925,1406.3358355020075,0.01993210292558264,0.1253483808238229,0.0,81476.44753548491,0.012955866901628714,9.21249859
security_18,1676.681783733583,0.0,0.0,0.2747252747436998,0.0,178571.42858340486,0.0,106.50287390000001
security_19,0.0,2935.9462071258317,0.04810564748841627,0.04810564748841627,31268.670867470577,0.0,0.03126867086747058,10.65028739
security_20,4915.925648047439,665.3074927416386,0.02234725815567873,0.14277557711907704,0.0,92804.1251274001,0.014525717801191173,21.83308915
security_21,0.0,1222.3093840548993,0.15721673511175885,0.15721673511175885,102190.87782264325,0.0,0.10219087782264324,83.60475601
security_22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,44.99746422
security_23,6903.983814147906,524.8476293023266,0.03948676572515697,0.47993254041121447,0.0,311956.15126728936,0.025666397721352027,48.9025696
security_24,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,46.95001691
security_25,0.0,382.52535761293376,0.020892333297039968,0.020892333297039968,13580.016643075982,0.0,0.013580016643075982,35.50095797
security_26,0.0,838.9922363779234,0.15866255362918036,0.15866255362918036,103130.65985896725,0.0,0.10313065985896724,122.92206696
security_27,0.0,69.77101610732826,0.012051255601195198,0.012051255601195198,7833.3161407768785,0.0,0.007833316140776878,112.27177957
security_28,2026.2015514197342,1174.782957117006,0.11421005888711762,0.08277321968607386,0.0,53802.59279594801,0.07423653827662642,63.19170518
security_29,34267.94887242863,5475.011218857731,0.05980558247890662,0.31451595966042833,0.0,204435.37377927836,0.03887362861128931,7.10019159
security_30,0.0,475.9750881702646,0.06057129511224421,0.06057129511224421,39371.34182295874,0.0,0.03937134182295874,82.71723206
security_31,0.0,940.6728114811625,0.034036993358496,0.034036993358496,22124.045683022396,0.0,0.022124045683022394,23.51938465
